Date,Suspected Covid - All,Suspected Covid - Attended,Suspected Covid - Conveyed
2020-01-22,1,1,1
2020-01-23,0,0,0
2020-01-24,2,2,2
2020-01-25,1,1,1
2020-01-26,0,0,0
2020-01-27,0,0,0
2020-01-28,2,2,2
2020-01-29,0,0,0
2020-01-30,2,2,2
2020-01-31,4,4,4
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,3,3,3
2020-02-04,1,1,0
2020-02-05,2,2,2
2020-02-06,2,2,2
2020-02-07,4,4,4
2020-02-08,3,3,3
2020-02-09,4,3,3
2020-02-10,4,4,4
2020-02-11,2,2,2
2020-02-12,3,3,3
2020-02-13,1,1,0
2020-02-14,2,2,2
2020-02-15,1,1,1
2020-02-16,1,1,1
2020-02-17,1,1,1
2020-02-18,3,3,3
2020-02-19,1,1,1
2020-02-20,2,2,2
2020-02-21,1,1,1
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,1,1,1
2020-02-25,2,2,2
2020-02-26,4,4,3
2020-02-27,5,5,5
2020-02-28,3,3,3
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,1,1,1
2020-03-03,5,5,5
2020-03-04,3,3,3
2020-03-05,5,4,4
2020-03-06,9,7,7
2020-03-07,7,4,4
2020-03-08,1,0,0
2020-03-09,5,4,3
2020-03-10,16,14,13
2020-03-11,86,78,50
2020-03-12,42,36,20
2020-03-13,170,151,101
2020-03-14,113,97,56
2020-03-15,111,94,57
2020-03-16,161,151,89
2020-03-17,190,162,89
2020-03-18,343,292,180
2020-03-19,387,339,203
2020-03-20,409,360,222
2020-03-21,355,317,179
2020-03-22,441,391,215
2020-03-23,504,449,253
2020-03-24,598,542,287
2020-03-25,664,587,295
2020-03-26,668,617,315
2020-03-27,602,557,293
2020-03-28,569,516,271
2020-03-29,514,469,263
2020-03-30,577,533,291
2020-03-31,615,561,325
2020-04-01,642,593,327
2020-04-02,558,522,291
2020-04-03,684,609,360
2020-04-04,679,597,336
2020-04-05,689,610,363
2020-04-06,748,653,366
2020-04-07,648,568,336
2020-04-08,634,563,332
2020-04-09,578,511,270
2020-04-10,638,580,334
2020-04-11,530,479,251
2020-04-12,537,479,282
2020-04-13,512,460,267
2020-04-14,513,451,246
2020-04-15,462,421,217
2020-04-16,504,433,242
2020-04-17,452,418,246
2020-04-18,470,405,251
2020-04-19,414,371,218
2020-04-20,407,353,205
2020-04-21,309,269,156
2020-04-22,357,308,193
2020-04-23,377,327,205
2020-04-24,403,338,214
2020-04-25,403,353,210
2020-04-26,363,307,194
2020-04-27,402,343,225
2020-04-28,380,334,220
2020-04-29,381,320,219
2020-04-30,409,360,256
2020-05-01,439,380,249
2020-05-02,412,349,203
2020-05-03,384,317,193
2020-05-04,391,346,220
2020-05-05,378,326,227
2020-05-06,374,311,210
2020-05-07,388,319,213
2020-05-08,336,297,197
2020-05-09,332,271,162
2020-05-10,269,242,157
2020-05-11,342,295,198
2020-05-12,351,311,195
2020-05-13,295,262,175
2020-05-14,307,260,170
2020-05-15,324,274,193
2020-05-16,331,287,190
2020-05-17,314,276,186
2020-05-18,415,341,244
2020-05-19,379,323,201
2020-05-20,326,264,186
2020-05-21,327,267,183
2020-05-22,314,271,178
2020-05-23,301,268,175
2020-05-24,303,255,155
2020-05-25,308,265,180
2020-05-26,274,241,149
2020-05-27,292,257,168
2020-05-28,294,251,165
2020-05-29,249,198,131
2020-05-30,250,206,131
2020-05-31,258,217,151
2020-06-01,306,262,183
2020-06-02,285,219,152
2020-06-03,260,211,136
2020-06-04,262,225,158
2020-06-05,288,257,165
2020-06-06,260,219,156
2020-06-07,284,236,158
2020-06-08,302,254,178
2020-06-09,269,235,167
2020-06-10,283,250,165
2020-06-11,296,247,169
2020-06-12,250,210,141
2020-06-13,277,240,163
2020-06-14,264,224,152
2020-06-15,295,244,176
2020-06-16,270,222,153
2020-06-17,253,211,150
2020-06-18,250,216,148
2020-06-19,274,224,158
2020-06-20,247,204,119
2020-06-21,250,200,127
2020-06-22,228,194,126
2020-06-23,241,207,148
2020-06-24,233,193,136
2020-06-25,269,229,162
2020-06-26,247,205,154
2020-06-27,253,209,147
2020-06-28,235,190,129
2020-06-29,264,230,159
2020-06-30,257,216,158
2020-07-01,238,198,149
2020-07-02,250,213,147
2020-07-03,285,243,180
2020-07-04,280,233,153
2020-07-05,239,197,124
2020-07-06,241,205,127
2020-07-07,185,143,104
2020-07-08,208,170,120
2020-07-09,233,195,134
2020-07-10,191,161,114
2020-07-11,197,168,131
2020-07-12,187,163,108
2020-07-13,212,181,131
2020-07-14,235,197,142
2020-07-15,215,182,131
2020-07-16,275,227,160
2020-07-17,205,166,123
2020-07-18,182,160,97
2020-07-19,158,126,95
2020-07-20,192,176,123
2020-07-21,189,171,125
2020-07-22,158,144,107
2020-07-23,174,159,117
2020-07-24,171,153,109
2020-07-25,163,155,108
2020-07-26,159,148,103
2020-07-27,162,144,103
2020-07-28,122,113,68
2020-07-29,139,132,100
2020-07-30,136,123,91
2020-07-31,165,144,102
2020-08-01,175,160,111
2020-08-02,159,141,96
2020-08-03,224,203,143
2020-08-04,153,142,95
2020-08-05,123,106,75
2020-08-06,162,151,110
2020-08-07,120,108,74
2020-08-08,164,148,99
2020-08-09,122,116,92
2020-08-10,134,124,105
2020-08-11,158,144,113
2020-08-12,184,170,121
2020-08-13,144,135,108
2020-08-14,156,141,105
2020-08-15,130,118,80
2020-08-16,130,115,94
2020-08-17,152,137,105
2020-08-18,115,103,62
2020-08-19,162,156,113
2020-08-20,180,164,113
2020-08-21,157,139,104
2020-08-22,200,182,135
2020-08-23,194,169,125
2020-08-24,240,207,148
2020-08-25,186,166,122
2020-08-26,197,178,141
2020-08-27,189,171,121
2020-08-28,200,179,131
2020-08-29,215,202,146
2020-08-30,186,165,114
2020-08-31,203,186,132
2020-09-01,144,131,94
2020-09-02,146,134,82
2020-09-03,149,132,97
2020-09-04,185,172,124
2020-09-05,224,210,153
2020-09-06,202,180,132
2020-09-07,187,165,126
2020-09-08,228,201,148
2020-09-09,192,172,135
2020-09-10,227,207,160
2020-09-11,189,174,130
2020-09-12,130,120,98
2020-09-13,140,124,92
2020-09-14,281,255,191
2020-09-15,235,217,159
2020-09-16,233,212,151
2020-09-17,196,183,134
2020-09-18,233,206,151
2020-09-19,202,181,128
2020-09-20,226,204,155
